ethnic_group_code,ethnic_group,ethnic_group_countries
psh,Pashayi (Pashai),AFG
pus,Pashtun,"AFG, ARE, CAN, GBR, IND, IRN, MYS, PAK, SGP, USA"
pon,Pehnpeian,FSM
per,Persian,"AFG, ARE, AUS, BEL, BHR, CAN, CHN, DEU, FRA, GBR, GRC, IND, IRN, ISR, ITA, JPN, KGZ, KOR, KWT, NOR, OMN, PAK, QAT, RUS, SWE, TJK, TUR, UZB, ZAF"
pru,Peruvian,"BOL, BRA, CHL, ECU, PER, PRY, USA"
pol,Poles,"AUT, AUS, BLR, CAN, CZE, DEU, ESP, FIN, FRA, GRC, IRL, ISL, ITA, KAZ, LTU, LVA, MDA, NLD, NOR, POL, ROM, RUS, SWE, UKR, USA, ZAF"
pom,Pomaks,"ALB, BGR, GRC, MKD, TUR"
por,Portuguese,"AGO, AUS, BEL, BRA, CAN, CHE, ESP, FRA, GBR, GUY, LUX, MOZ, PRT, USA, VEN, ZAF"
cpp,Portuguese-Creole,"CPV, GMB, GNB, GNQ, SEN, STP"
pum,Pumi,CHN
pan,Punjabi,"ARE, CAN, CHN, GBR, IND, MYS, PAK, RUS, SAU, USA, ZAF"
phu,Puthai (Phuthai),LAO
qia,Qiang,CHN
qiz,Qizilbash,"AFG, IND, PAK"
que,Quechua,"ARG, BOL, CHL, COL, ECU, PER"
raj,Rajasthani,IND
bda,Rakhine (Buddist Arakanese),"BGD, IND, MMR"
rap,Rapa Nui,CHL
rom,Romani (Roma),"BGR, BIH, CZE, ESP, FRA, GBR, GRC, HRV, HUN, MKD, POL, ROM, RUS, SVK, TUR"
rum,Romanian,"AUS, AUT, CAN, DEU, ESP, FRA, GBR, GRC, HUN, KAZ, MDA, ROM, RUS, SRB, SWE, UKR, USA"
roh,Romansh,CHE
run,Rundi,BDI
rus,Russian,"ARM, AUS, BLR, BRA, CAN, CHN, EST, FIN, GBR, GEO, ISR, ITA, KAZ, KGZ, LTU, LVA, MDA, RUS, TJK, TKM, UKR, USA, UZB"
slr,Salar,CHN
sal,Salish,"CAN, USA"
smi,Sami,"FIN, NOR, RUS, SWE"
smo,Samoans,"AUS, NZL, USA, WSM"
sad,Sandawe,TZA
sag,Sango,"CAF, COD, TCD"
fri,Santals,"BGD, BTN, IND, NPL"
sar,Sara,"CAF, TCD"
srd,Sardinian,"ARG, DEU, ITA, USA"
sas,Sasak,IDN
sco,Scottish (Scots),"ARG, AUS, CAN, CHL, GBR, NZL, USA"
sel,Selkup,RUS
sen,Sena,MWI
srp,Serbs,"ALB, BIH, CHE, DEU, DNK, FRA, GBR, GRC, HRV, HUN, ITA, MKD, MTN, ROM, RUS, SRB, SVN, SWE, TUR, USA"
srr,Serer,"GMB, MRT, SEN"
shy,Shaigiya,SDN
shn,Shan,"KHM, MMR, THA"
she,She,CHN
shl,Shilluk,SDN
sna,Shona (Ndau),"MOZ, ZWE"
scn,Sicilian,ITA
sid,Sidama,ETH
bla,Siksikawa,CAN
